time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,4,0
10,0,0,0,0,0,0,5,0
11,0,0,0,0,0,0,6,0
12,0,0,0,0,0,0,7,0
14,0,0,0,0,0,0,8,0
17,0,0,0,0,0,0,9,0
18,0,0,0,0,0,0,10,0
21,0,0,0,0,0,0,11,0
22,0,0,0,0,0,0,12,0
25,0,0,0,0,0,0,13,0
26,0,0,0,0,0,0,14,0
29,0,0,0,0,0,0,15,0
30,0,0,0,0,0,0,16,0
3250,0,0,0,0,0,0,16,0
3256,0,0,0,0,0,0,16,0
3260,0,0,0,0,0,0,16,0
3261,0,0,0,0,0,0,16,0
3262,0,0,0,0,0,0,16,0
3264,0,0,0,0,0,0,16,0
3267,0,0,0,0,0,0,16,0
3268,0,0,0,0,0,0,16,0
3271,0,0,0,0,0,0,16,0
3272,0,0,0,0,0,0,16,0
3275,0,0,0,0,0,0,16,0
3276,0,0,0,0,0,0,16,0
3279,0,0,0,0,0,0,16,0
3280,0,0,0,0,0,0,16,0
10006,0,0,0,0,0,0,15,1
27794,0,0,0,0,0,0,14,2
44477,0,0,0,0,0,0,16,2
44488,0,0,0,0,0,0,18,2
44497,0,0,0,0,0,0,19,2
44498,0,0,0,0,0,0,20,2
44500,0,0,0,0,0,0,22,2
44506,0,0,0,0,0,0,23,2
44507,0,0,0,0,0,0,24,2
44508,0,0,0,0,0,0,26,2
47452,0,0,0,0,0,0,25,3
47727,0,0,0,0,0,0,25,3
47738,0,0,0,0,0,0,25,3
47747,0,0,0,0,0,0,25,3
47748,0,0,0,0,0,0,25,3
47750,0,0,0,0,0,0,25,3
47756,0,0,0,0,0,0,25,3
47757,0,0,0,0,0,0,25,3
47758,0,0,0,0,0,0,25,3
50932,0,0,0,0,0,0,24,4
71728,0,0,0,0,0,0,23,5
88003,0,0,0,0,0,0,22,6
95121,0,0,0,0,0,0,21,7
96445,0,0,0,0,0,0,20,8
138519,0,0,0,0,0,0,19,9
164380,0,0,0,0,0,0,18,10
205786,0,0,0,0,0,0,17,11
214591,0,0,0,0,0,0,16,12
224994,0,0,0,0,0,0,17,12
224997,0,0,0,0,0,0,18,12
224999,0,0,0,0,0,0,19,12
225000,0,0,0,0,0,0,20,12
225010,0,0,0,0,0,0,21,12
225012,0,0,0,0,0,0,22,12
