time,max,99th,95th,med
0,7,7,7,7
6,22,22,22,22
10,22,7,7,22
11,22,12,12,22
12,22,17,17,22
14,22,22,22,22
17,22,22,22,22
18,22,22,22,22
21,22,22,22,22
22,22,22,22,22
25,22,22,22,22
26,22,22,22,22
29,22,22,22,22
30,22,22,22,22
10006,22,22,22,22
27794,22,22,22,22
44477,22,22,22,22
44488,22,22,22,22
44497,22,22,22,22
44498,22,22,22,22
44500,22,22,22,22
44506,22,22,22,22
44507,22,22,22,22
44508,22,22,22,22
47452,22,22,22,22
50932,22,22,22,22
71728,22,22,22,17
88003,22,22,22,17
95121,22,22,22,17
96445,22,22,22,17
138519,22,22,22,12
164380,22,17,17,12
205786,22,17,17,12
214591,22,17,17,12
224994,22,22,22,12
224997,22,22,22,17
224999,22,22,22,17
225000,22,22,22,17
225010,22,22,22,17
225012,22,22,22,22
225015,22,22,22,22
225016,22,22,22,22
227498,22,22,22,22
233159,22,22,22,17
249917,22,22,22,17
283022,22,17,17,17
291278,22,17,17,17
291287,22,17,17,17
291295,22,17,17,17
291300,22,17,17,17
291309,22,17,17,17
291313,22,17,17,7
291315,22,17,17,7
291317,22,17,17,7
329579,22,17,17,7
343915,22,17,17,7
343918,22,17,17,7
343923,22,17,17,7
343925,22,17,17,7
343968,22,17,17,7
343982,22,17,17,7
343996,22,17,17,7
343999,22,17,17,7
365796,22,17,17,7
398384,17,17,17,7
399086,17,17,17,7
399377,17,17,17,7
510176,17,17,17,7
510191,17,17,17,7
510211,17,17,17,7
603106,17,17,17,7
621381,17,17,17,7
632320,17,17,17,7
632336,17,17,17,7
632338,17,17,17,7
687598,17,17,17,7
696856,17,17,17,7
712420,17,17,17,7
719719,17,17,17,7
719728,17,17,17,7
719742,17,17,17,7
719748,17,17,17,7
719754,17,17,17,7
719767,17,17,17,7
719816,17,17,17,7
719849,17,17,17,7
769021,17,17,17,7
769058,17,17,17,7
769060,17,17,17,7
769074,17,17,17,7
769093,17,17,17,7
769100,17,17,17,7
769106,17,17,17,7
769128,17,17,17,7
810492,17,17,17,7
810498,17,17,17,7
810513,17,17,17,7
810521,17,17,17,7
810528,17,17,17,7
810542,17,17,17,7
810548,17,17,17,7
810564,17,17,17,7
810573,17,17,17,7
810588,17,17,17,7
810604,17,17,17,7
810619,17,17,17,7
810624,17,17,17,7
810916,17,17,17,7
810994,17,17,17,7
810997,17,17,17,7
864042,17,17,17,7
867080,17,17,17,7
960932,17,17,17,7
960936,17,17,17,7
960939,17,17,17,7
960944,17,17,17,7
960948,17,17,17,7
960951,17,17,17,7
960956,17,17,17,7
960960,17,17,17,7
960964,17,17,17,7
960968,17,17,17,7
960971,17,17,17,7
960974,17,17,17,7
960978,17,17,17,7
960981,17,17,17,7
960985,17,17,17,7
960989,17,17,17,7
960993,17,17,17,7
960997,17,17,17,7
961001,17,17,17,12
961004,17,17,17,12
961008,17,17,17,12
961011,17,17,17,12
961015,17,17,17,12
961019,17,17,17,12
961023,17,17,17,12
961026,17,17,17,12
961030,17,17,17,12
961033,17,17,17,12
961036,17,17,17,12
961041,17,17,17,12
961045,17,17,17,12
961048,17,17,17,12
961051,17,17,17,12
961055,22,17,17,12
961058,22,17,17,12
961062,22,17,17,12
961065,22,17,17,12
961069,22,17,17,12
961072,22,17,17,12
961075,22,17,17,12
961078,22,17,17,12
961082,22,17,17,12
961086,22,17,17,12
961089,22,17,17,12
961092,22,17,17,12
961095,22,17,17,12
961099,22,17,17,12
961102,22,17,17,12
961106,22,17,17,12
961109,22,22,17,12
961114,22,22,17,12
961118,22,22,17,12
961121,22,22,17,12
961125,22,22,17,12
961129,22,22,17,12
961132,22,22,17,12
961136,22,22,17,12
961140,22,22,17,12
961143,22,22,17,12
961147,22,22,17,12
961150,22,22,17,12
961153,22,22,17,12
961157,22,22,17,12
961160,22,22,17,12
961164,22,22,17,12
961168,22,22,17,12
961171,22,22,17,12
961174,22,22,17,12
961178,22,22,17,12
961181,22,22,17,12
961185,22,22,17,12
961188,22,22,17,12
961191,22,22,17,12
961194,22,22,17,12
961197,22,22,17,12
961201,22,22,17,12
961204,22,22,17,12
961208,22,22,17,12
961211,22,22,17,12
961215,22,22,17,12
961218,22,22,17,12
961222,22,22,17,12
961225,22,22,17,12
961229,22,22,17,12
961233,22,22,17,12
961236,22,22,17,12
961239,22,22,17,12
961242,22,22,17,12
961246,22,22,17,12
961249,22,22,17,12
961253,22,22,17,12
961256,22,22,17,12
961259,22,22,17,12
