time,max,99th,95th,med
0,7,7,7,7
6,22,22,22,22
10,22,7,7,22
11,22,12,12,22
12,22,17,17,22
14,22,22,22,22
17,22,22,22,22
18,22,22,22,22
21,22,22,22,22
22,22,22,22,22
25,22,22,22,22
26,22,22,22,22
29,22,22,22,22
30,22,22,22,22
10026,22,22,22,22
27854,22,22,22,22
44477,22,22,22,22
44488,22,22,22,22
44497,22,22,22,22
44498,22,22,22,22
44500,22,22,22,22
44506,22,22,22,22
44507,22,22,22,22
44508,22,22,22,22
47492,22,22,22,22
51012,22,22,22,22
71748,22,22,22,17
88063,22,22,22,17
95161,22,17,17,17
96525,22,17,17,17
138619,22,17,17,17
164480,17,17,17,17
205886,17,17,17,17
214611,17,17,17,17
224994,22,17,17,17
224997,22,17,17,17
224999,22,22,22,17
225000,22,22,22,17
225010,22,22,22,17
225012,22,22,22,17
225015,22,22,22,22
225016,22,22,22,22
227518,22,22,22,22
233279,22,22,22,17
249977,22,22,22,17
283042,22,22,22,17
291278,22,22,22,17
291287,22,22,22,17
291295,22,22,22,17
291300,22,22,22,12
291309,22,22,22,12
291313,22,22,22,7
291315,22,22,22,7
291317,22,22,22,7
329619,22,22,22,7
343915,22,22,22,7
343918,22,22,22,7
343923,22,22,22,7
343925,22,22,22,7
343968,22,22,22,7
343982,22,22,17,7
343996,22,22,17,7
343999,22,22,17,7
365916,22,22,17,7
398504,22,17,17,7
399106,22,17,17,7
399437,17,17,17,7
510176,17,17,17,7
510191,17,17,17,7
510211,17,17,17,7
603166,17,17,17,7
621501,17,17,17,7
632320,17,17,17,7
632336,17,17,17,7
632338,17,17,17,7
687598,17,17,17,7
696956,17,17,17,7
712520,17,17,17,7
719719,17,17,17,7
719728,17,17,17,7
719742,17,17,17,7
719748,17,17,17,7
719754,17,17,17,7
719767,17,17,17,7
719816,17,17,17,7
719849,17,17,17,7
769021,17,17,17,7
769058,17,17,17,7
769060,17,17,17,7
769074,17,17,17,7
769093,17,17,17,7
769100,17,17,17,7
769106,17,17,17,7
769128,17,17,17,7
810492,17,17,17,7
810498,17,17,17,7
810513,17,17,17,7
810521,17,17,17,7
810528,17,17,17,7
810542,17,17,17,7
810548,17,17,17,7
810564,17,17,17,7
810573,17,17,17,7
810588,17,17,17,7
810604,17,17,17,7
810619,17,17,17,7
810624,17,17,17,7
810916,17,17,17,7
810994,17,17,17,7
810997,17,17,17,7
864122,17,17,17,7
867205,17,17,17,7
960932,17,17,17,7
960936,17,17,17,7
960939,17,17,17,7
960944,17,17,17,7
960948,17,17,17,7
960951,17,17,17,7
960956,17,17,17,7
960960,17,17,17,12
960964,17,17,17,12
960968,17,17,17,12
960971,17,17,17,12
960974,17,17,17,12
960978,17,17,17,12
960981,17,17,17,12
960985,17,17,17,12
960989,17,17,17,12
960993,17,17,17,12
960997,17,17,17,12
961001,17,17,17,12
961004,17,17,17,12
961008,17,17,17,12
961011,17,17,17,12
961015,17,17,17,12
961019,17,17,17,12
961023,17,17,17,12
961026,17,17,17,12
961030,17,17,17,12
961033,17,17,17,12
961036,17,17,17,12
961041,17,17,17,12
961045,17,17,17,12
961048,17,17,17,12
961051,17,17,17,12
961055,17,17,17,12
961058,17,17,17,12
961062,17,17,17,12
961065,17,17,17,12
961069,17,17,17,12
961072,17,17,17,12
961075,17,17,17,12
961078,17,17,17,12
961082,17,17,17,12
961086,17,17,17,12
961089,17,17,17,12
961092,17,17,17,12
961095,17,17,17,12
961099,17,17,17,12
961102,17,17,17,12
961106,17,17,17,12
961109,17,17,17,12
961114,17,17,17,12
961118,17,17,17,12
961121,17,17,17,12
961125,17,17,17,12
961129,17,17,17,12
961132,17,17,17,12
961136,17,17,17,12
961140,17,17,17,12
961143,17,17,17,12
961147,17,17,17,12
961150,17,17,17,12
961153,17,17,17,12
961157,17,17,17,12
961160,17,17,17,12
961164,17,17,17,12
961168,17,17,17,12
961171,17,17,17,12
961174,17,17,17,12
961178,17,17,17,12
961181,17,17,17,12
961185,17,17,17,12
961188,17,17,17,12
961191,17,17,17,12
961194,17,17,17,12
961197,17,17,17,12
961201,17,17,17,12
961204,17,17,17,12
961208,17,17,17,12
961211,17,17,17,12
961215,17,17,17,12
961218,17,17,17,12
961222,17,17,17,12
961225,17,17,17,12
961229,17,17,17,12
961233,17,17,17,12
961236,17,17,17,12
961239,17,17,17,12
961242,17,17,17,12
961246,17,17,17,12
961249,17,17,17,12
961253,17,17,17,12
961256,17,17,17,12
961259,17,17,17,12
